,state_number,consecutive_number,vehicle_number,driver_distracted_by,driver_distracted_by_name
383,54,540212,11,0,Not Distracted
384,54,540212,10,0,Not Distracted
385,54,540212,9,0,Not Distracted
386,54,540212,8,0,Not Distracted
387,54,540212,7,0,Not Distracted
388,54,540212,6,0,Not Distracted
389,54,540212,5,0,Not Distracted
390,55,550122,5,0,Not Distracted
391,39,390619,5,1,Looked But Did Not See
392,47,470890,5,15,Other Cellular Phone Related
393,6,62580,7,16,No Driver Present/Unknown if Driver Present
394,22,220455,5,16,No Driver Present/Unknown if Driver Present
395,45,450628,6,17,Distraction/Inattention
396,6,62883,6,96,Not Reported
397,6,61466,5,96,Not Reported
398,6,61216,6,96,Not Reported
399,6,61195,5,96,Not Reported
400,6,60432,5,96,Not Reported
401,6,60394,5,96,Not Reported
402,6,60464,7,96,Not Reported
403,6,60464,9,96,Not Reported
404,6,60464,8,96,Not Reported
405,6,60464,6,96,Not Reported
406,6,60464,5,96,Not Reported
407,6,62501,7,96,Not Reported
408,6,62501,6,96,Not Reported
409,6,62501,5,96,Not Reported
410,6,61568,5,96,Not Reported
411,6,61710,5,96,Not Reported
412,26,260109,7,96,Not Reported
413,26,260109,6,96,Not Reported
414,26,260109,5,96,Not Reported
415,26,260334,5,96,Not Reported
416,26,260017,5,96,Not Reported
417,26,260012,5,96,Not Reported
418,26,260422,7,96,Not Reported
419,26,260422,6,96,Not Reported
420,26,260422,5,96,Not Reported
421,28,280614,5,96,Not Reported
422,28,280398,9,96,Not Reported
423,28,280398,8,96,Not Reported
424,28,280398,7,96,Not Reported
425,28,280398,6,96,Not Reported
426,28,280398,5,96,Not Reported
427,28,280050,5,96,Not Reported
428,28,280050,6,96,Not Reported
429,29,290554,5,96,Not Reported
430,29,290836,6,96,Not Reported
431,29,290836,5,96,Not Reported
432,29,290238,5,96,Not Reported
433,29,290236,6,96,Not Reported
434,29,290236,5,96,Not Reported
435,32,320266,5,96,Not Reported
436,35,350326,5,96,Not Reported
437,37,370838,7,96,Not Reported
438,37,370838,6,96,Not Reported
439,37,370838,5,96,Not Reported
440,37,371010,5,96,Not Reported
441,37,371130,5,96,Not Reported
442,37,371130,6,96,Not Reported
443,45,450628,5,96,Not Reported
444,45,450937,5,96,Not Reported
445,45,450468,6,96,Not Reported
446,51,510085,5,96,Not Reported
447,51,510085,6,96,Not Reported
448,51,510085,7,96,Not Reported
449,56,560028,6,99,Unknown if Distracted
450,56,560028,5,99,Unknown if Distracted
451,4,40744,6,99,Unknown if Distracted
452,5,50457,7,99,Unknown if Distracted
453,9,90155,5,99,Unknown if Distracted
454,12,122745,5,99,Unknown if Distracted
455,12,121930,5,99,Unknown if Distracted
456,19,190336,5,99,Unknown if Distracted
